ticker,super_score_4d,tier,vcp_score,insiders_score,sector_score,institutional_score,num_whales,top_whales,next_earnings,days_to_earnings,sector_name,sector_momentum,tier_boost,dj_ticker,current_price,price_target,upside_percent,analyst_target,analyst_upside,num_analysts,fundamental_score,pe_ratio,peg_ratio,fcf_yield,roe,revenue_growth,entry_score,entry_bonus,super_score_5d
ECL,46.3,🔵 MODERADA,79.42857142857143,50,79.09,0.0,0,,2026-02-10,2.0,Basic Materials,stable,3,DJUSBS,299.17,325.16,8.69,321.2381,7.376441488117114,21,43.75,41.15131,,,0.22516,0.178,80.0,5,54.3
ALLY,50.3,🔵 MODERADA,0.0,100,64.96,61.1368,6,"Berkshire Hathaway (Warren Buffett), Berkshire Hathaway (Warren Buffett), Berkshire Hathaway (Warren Buffett)",2026-04-16,67.0,Financial Services,declining,0,DJUSFI,40.8,48.82,19.66,52.76471,29.32526960784314,17,37.5,17.21519,,,0.05796,0.12,45.0,1,51.3
GPN,50.1,🔵 MODERADA,92.02380952380952,50,58.83,0.0,0,,2026-02-18,10.0,Industrials,stable,0,DJUSIG,68.48,101.66,48.45,100.84615,47.263653621495315,26,25.0,10.391502,,12.63494093118441,0.07233,0.005,0.0,0,50.1
DASH,48.9,🔵 MODERADA,87.91666666666667,50,68.9,0.0,0,,2026-02-18,10.0,Consumer Cyclical,declining,0,DJUSGT,160.34,237.56,48.16,274.6881,71.31601596607211,42,50.0,81.39086,,-2.628016516280322,0.100430004,0.273,0.0,0,48.9
MGM,48.9,🔵 MODERADA,87.875,50,68.9,0.0,0,,2026-04-29,80.0,Consumer Cyclical,declining,0,DJUSGT,34.14,37.27,9.16,42.61111,24.812858816637373,18,35.0,44.92105,,5.118638499266669,0.1489,0.06,20.0,0,48.9
ALIT,45.0,🔵 MODERADA,0.0,100,77.81,40.078831446,4,"Appaloosa Management (David Tepper), Appaloosa Management (David Tepper), Appaloosa Management (David Tepper)",2026-02-19,11.0,Technology,improving,3,DJUSTC,1.3,2.92,124.87,4.41667,239.74384615384614,6,20.0,,,38.58122511482982,-0.66856,-0.04,0.0,0,48.0
PODD,43.6,🔵 MODERADA,70.16666666666667,50,49.96,0.0,0,,2026-02-18,10.0,Healthcare,improving,0,DJUSHC,242.74,220.66,-9.1,369.64,52.27815769959627,25,50.0,70.97661,,1.2602354921665915,0.19679001,0.299,10.0,0,43.6
HYMC,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,2026-03-04,24.0,Basic Materials,stable,3,DJUSBS,35.55,39.1,9.99,,,0,12.5,,,-1.1369399248068064,-3.7460501,,60.0,3,41.0
NWFL,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,2026-04-23,74.0,Financial Services,declining,0,DJUSFI,31.52,33.84,7.34,33.0,4.695431472081224,1,50.0,10.471761,,,0.12182,,90.0,5,40.0
BUKS,35.0,🔵 MODERADA,0.0,100,58.83,0.0,0,,,,Industrials,stable,0,DJUSIG,3.1,4.31,38.99,,,0,55.0,12.4,,7.929721562904588,0.25355,0.089,100.0,5,40.0
CBKM,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,25.95,30.93,19.19,,,0,62.5,8.564357,,,0.122480005,0.169,90.0,5,40.0
AVBC,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,19.07,21.49,12.69,22.0,15.364446775039319,1,37.5,,,,-0.01148,0.139,100.0,5,40.0
SPG,35.0,🔵 MODERADA,0.0,100,28.61,0.0,0,,2026-02-02,-6.0,Real Estate,improving,0,DJUSRE,196.83,208.85,6.11,201.2,2.220190011685208,20,43.75,13.890614,,,1.04109,0.131,80.0,5,40.0
ALMS,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2025-11-13,-87.0,Healthcare,improving,0,DJUSHC,26.54,33.22,25.17,37.25,40.35418236623964,8,25.0,,,-5.764552071101127,-0.66876,,90.0,5,40.0
SRZN,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,,,Healthcare,improving,0,DJUSHC,24.48,31.8,29.9,36.66667,49.78214869281048,3,16.67,,,-4.2316129165823435,,-0.902,90.0,5,40.0
AVO,35.0,🔵 MODERADA,0.0,100,20.85,0.0,0,,2026-03-09,29.0,Consumer Defensive,improving,0,DJUSFB,14.37,12.93,-10.04,17.33333,20.621642310368827,3,25.0,27.113209,,3.379306572578389,0.06767,-0.1,90.0,5,40.0
CMTV,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,31.99,36.44,13.91,,,0,75.0,10.557755,,,0.16028,0.14,90.0,5,40.0
ISBA,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,51.295,57.39,11.88,54.0,5.273418461838375,1,37.5,20.03711,,,0.08563,0.143,80.0,5,40.0
CR,35.0,🔵 MODERADA,0.0,100,58.83,0.0,0,,2026-01-26,-13.0,Industrials,stable,0,DJUSIG,200.52,210.15,4.8,218.77779,9.10522142429684,9,40.0,35.490265,,-6.5080624518503605,0.17908001,0.068,80.0,5,40.0
CBC,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,2026-04-28,79.0,Financial Services,declining,0,DJUSFI,24.515,29.87,21.84,29.1,18.702834998980222,5,75.0,17.63669,,,0.11338,0.321,80.0,5,40.0
SLGL,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2025-11-20,-80.0,Healthcare,improving,0,DJUSHC,67.2,91.96,36.85,110.0,63.69047619047619,1,25.0,,,,-0.29591,-0.925,80.0,5,40.0
ABT,40.0,🔵 MODERADA,0.0,90,49.96,30.016092209,3,"Bridgewater Associates (Ray Dalio), BlackRock, BlackRock",2026-04-15,66.0,Healthcare,improving,0,DJUSHC,112.68,128.67,14.19,133.3892,18.378771742988988,25,33.33,30.290323,,,0.13158,0.044,10.0,0,40.0
CCFN,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,60.8,76.0,25.0,,,0,75.0,8.875913,,,0.13498001,0.227,100.0,5,40.0
SPRU,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-11-11,-89.0,Technology,improving,3,DJUSTC,4.42,4.86,9.95,,,0,20.0,,,-16.26116050748842,-0.17415,0.437,55.0,1,39.0
CNTM,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
NAVN,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-12-15,-55.0,Technology,improving,3,DJUSTC,10.44,17.82,70.72,24.16667,131.4815134099617,12,66.67,,,,,0.29,0.0,0,38.0
FIS,35.0,🔵 MODERADA,0.0,90,77.81,10.000249894,1,Tiger Global Management,2026-02-10,2.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
AMR,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,2026-02-27,19.0,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,38.0
GLSI,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2025-11-18,-82.0,Healthcare,improving,0,DJUSHC,26.85,38.52,43.46,47.5,76.90875232774673,2,16.67,,,-0.36485176033632855,-5.43434,,70.0,3,38.0
TOFB,35.0,🔵 MODERADA,0.0,100,20.85,0.0,0,,,,Consumer Defensive,improving,0,DJUSFB,0.77,1.8,133.77,,,0,40.0,,,15.201516800164502,-0.20905,-0.04,70.0,3,38.0
THM,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,,,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,38.0
ADTN,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2026-02-25,17.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
RGCO,35.0,🔵 MODERADA,0.0,100,31.22,0.0,0,,2026-02-05,-3.0,Utilities,improving,0,DJUSUT,21.86,18.88,-13.63,22.7,3.8426349496797796,1,35.0,17.488,,2.715142283178049,0.113000005,0.109,70.0,3,38.0
PSQH,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
Q,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2026-02-26,18.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
YYAI,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,1.07,1.18,10.28,,,0,33.33,0.22431867,,,,-0.083,0.0,0,38.0
WYY,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-11-13,-87.0,Technology,improving,3,DJUSTC,4.93,7.38,49.63,9.33333,89.31703853955378,3,30.0,,,17.387061077907184,-0.17366,0.043,30.0,0,38.0
SMRT,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,1.62,1.75,8.18,1.725,6.481481481481488,2,20.0,,,-5.138412812062618,-0.25479,-0.106,35.0,0,38.0
AUID,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-11-12,-88.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
SAIC,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-12-04,-66.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
WBI,35.0,🔵 MODERADA,0.0,100,50.11,0.0,0,,2026-03-16,36.0,Energy,improving,0,DJUSEN,25.07,28.01,11.74,28.44444,13.460071798962915,9,58.33,,,,,0.372,70.0,3,38.0
ASTS,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2026-03-02,22.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
BLND,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
MYSZ,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
PRPO,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,,,Healthcare,improving,0,DJUSHC,23.39,16.36,-30.04,,,0,30.0,,,1.8673996650613416,-0.09761,0.299,65.0,3,38.0
GRND,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
CABA,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2025-11-10,-90.0,Healthcare,improving,0,DJUSHC,2.8,8.1,189.37,13.125,368.75,8,25.0,,,-27.308672886389445,-1.01064,,60.0,3,38.0
SCKT,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
RPD,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2026-02-10,2.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
PFBX,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,21.01,23.11,10.0,,,0,0.0,24.717648,,,0.0481,-0.081,70.0,3,38.0
YORW,35.0,🔵 MODERADA,0.0,100,31.22,0.0,0,,,,Utilities,improving,0,DJUSUT,33.48,34.62,3.42,34.0,1.55316606929512,1,5.0,24.08633,,-6.60446956235229,0.08585,0.033,70.0,3,38.0
NRDY,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2026-02-26,18.0,Technology,improving,3,DJUSTC,1.0,1.64,64.38,2.1875,118.75,4,10.0,,,-5.1745131776579125,-1.19545,-0.014,0.0,0,38.0
AISP,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-11-17,-83.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
IAUX,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,2025-11-12,-88.0,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,38.0
GLOO,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-12-17,-53.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
INTZ,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-11-11,-89.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
BMNM,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,3.1,3.41,10.0,,,0,37.5,34.444443,,,0.10434,0.506,70.0,3,38.0
LSAK,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2026-02-04,-4.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
SVCO,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-11-12,-88.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
USAR,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,,,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,38.0
SPT,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2026-02-26,18.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
PDYN,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2025-11-12,-88.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
SQNS,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,3.2,8.01,150.31,12.5,290.625,4,5.0,0.2709568,,-514.6683391788426,-0.18169,-0.37,0.0,0,38.0
GLGI,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,,,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,38.0
CE,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,2026-02-17,9.0,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,38.0
FRD,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,2026-02-09,1.0,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,38.0
SCND,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
LCGMF,35.0,🔵 MODERADA,0.0,100,79.09,0.0,0,,,,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,38.0
MSTR,35.0,🔵 MODERADA,0.0,100,77.81,0.0,0,,2026-04-30,81.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,38.0
FISV,37.5,🔵 MODERADA,0.0,100,50.0,10.000115392,1,Tiger Global Management,2026-02-10,2.0,,stable,0,,59.36,71.32,20.14,77.33333,30.27852088948788,27,50.0,9.362776,,,,,0.0,0,37.5
UUU,35.0,🔵 MODERADA,0.0,100,58.83,0.0,0,,,,Industrials,stable,0,DJUSIG,4.61,5.07,9.98,,,0,60.0,9.039216,,64.69270540731247,0.26861998,-0.894,45.0,1,36.0
MAIA,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,,,Healthcare,improving,0,DJUSHC,1.92,7.12,270.96,12.135,532.03125,2,0.0,,,-9.862213220572936,-26.91066,,40.0,1,36.0
AUBN,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,25.11,26.79,6.69,,,0,0.0,12.072116,,,0.08642,-0.023,55.0,1,36.0
GTE,35.0,🔵 MODERADA,0.0,100,50.11,0.0,0,,,,Energy,improving,0,DJUSEN,5.57,6.31,13.3,6.492,16.552962298025122,1,0.0,,,-16.506453922388697,-0.21906,-0.031,50.0,1,36.0
NEWT,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,2026-04-28,79.0,Financial Services,declining,0,DJUSFI,12.72,15.5,21.82,17.0,33.64779874213837,5,31.25,5.6785717,,,0.17442,0.03,50.0,1,36.0
IMRX,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2025-11-12,-88.0,Healthcare,improving,0,DJUSHC,4.93,11.29,129.07,17.16667,248.20831643002032,6,25.0,,,-8.716663516894673,-0.4375,,45.0,1,36.0
KFS,35.0,🔵 MODERADA,0.0,100,68.9,0.0,0,,,,Consumer Cyclical,declining,0,DJUSGT,12.23,7.07,-42.19,,,0,30.0,,,2.702822331050518,-0.36534,0.319,40.0,1,36.0
IRIX,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2025-11-11,-89.0,Healthcare,improving,0,DJUSHC,1.38,1.62,17.1,3.0,117.39130434782612,1,25.0,,,2.6209657361897554,-1.39294,0.078,50.0,1,36.0
MNTR,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,0.077,,,,,0,16.67,,,-41.08909290167262,-0.17365,,45.0,1,36.0
GLP,35.0,🔵 MODERADA,0.0,100,50.11,0.0,0,,,,Energy,improving,0,DJUSEN,48.75,58.17,19.31,49.0,0.512820512820511,2,35.0,23.4375,,8.333317843290333,0.13768,0.062,50.0,1,36.0
DGICA,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,2026-02-19,11.0,Financial Services,declining,0,DJUSFI,18.7,23.68,26.63,21.0,12.299465240641716,1,40.0,7.6639347,,7.996638818644065,0.15104,-0.023,40.0,1,36.0
WERN,35.0,🔵 MODERADA,0.0,100,58.83,0.0,0,,2026-04-28,79.0,Industrials,stable,0,DJUSIG,33.21,35.6,7.19,34.66667,4.386239084613086,15,12.5,,,,-0.01594,-0.023,50.0,1,36.0
DLPN,35.0,🔵 MODERADA,0.0,100,18.22,0.0,0,,2025-11-12,-88.0,Communication Services,improving,0,DJUSTL,1.47,3.31,125.17,5.0,240.13605442176873,1,15.0,,,-0.9246934336552943,-0.55086,0.167,55.0,1,36.0
TPL,35.0,🔵 MODERADA,0.0,100,50.11,0.0,0,,2026-02-18,10.0,Energy,improving,0,DJUSEN,432.31,386.4,-10.62,280.83334,-35.03889801299993,2,55.0,62.47254,,0.31018135264975283,0.3937,0.17,50.0,1,36.0
DMLP,35.0,🔵 MODERADA,0.0,100,50.11,0.0,0,,,,Energy,improving,0,DJUSEN,25.48,32.01,25.64,,,0,50.0,23.59259,,8.946847863869635,0.15389,-0.338,40.0,1,36.0
FGBI,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,9.29,10.22,10.01,,,0,0.0,,,,-0.23281,0.034,50.0,1,36.0
HYPD,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2025-11-13,-87.0,Healthcare,improving,0,DJUSHC,4.14,5.88,41.91,5.875,41.90821256038648,2,40.0,,,-185.3631510183993,-0.6849,185.158,45.0,1,36.0
IBM,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,2026-04-22,73.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
USIO,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,2025-11-12,-88.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
LGL,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
NNUP,32.5,🔵 MODERADA,0.0,90,79.09,0.0,0,,,,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,35.5
GTLB,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,2026-03-02,22.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
CPAY,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,2026-02-04,-4.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
AVGO,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,2026-03-04,24.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
FLYW,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
PAR,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
UPBD,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,2026-02-19,11.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
AMPG,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
MU,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,2026-03-18,38.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
SRCO,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
CMC,32.5,🔵 MODERADA,0.0,90,79.09,0.0,0,,2026-03-19,39.0,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,35.5
FATN,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,2026-02-02,-6.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
SSGC,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
ALNT,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
CNXC,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,2026-03-25,45.0,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
WS,32.5,🔵 MODERADA,0.0,90,79.09,0.0,0,,2025-12-17,-53.0,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,35.5
FMC,32.5,🔵 MODERADA,0.0,90,79.09,0.0,0,,2026-04-29,80.0,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,35.5
APCX,32.5,🔵 MODERADA,0.0,90,77.81,0.0,0,,,,Technology,improving,3,DJUSTC,,,,,,0,,,,,,,,0,35.5
EMAT,32.5,🔵 MODERADA,0.0,90,79.09,0.0,0,,,,Basic Materials,stable,3,DJUSBS,,,,,,0,,,,,,,,0,35.5
ADVM,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2025-11-14,-86.0,Healthcare,improving,0,DJUSHC,,,,,,0,,,,,,,,0,35.0
WMG,35.0,🔵 MODERADA,0.0,100,18.22,0.0,0,,2026-02-05,-3.0,Communication Services,improving,0,DJUSTL,,,,,,0,,,,,,,,0,35.0
GOGO,35.0,🔵 MODERADA,0.0,100,18.22,0.0,0,,,,Communication Services,improving,0,DJUSTL,,,,,,0,,,,,,,,0,35.0
ADGM,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,,,Healthcare,improving,0,DJUSHC,,,,,,0,,,,,,,,0,35.0
UWHR,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,,,Financial Services,declining,0,DJUSFI,,,,,,0,,,,,,,,0,35.0
PMT,35.0,🔵 MODERADA,0.0,100,28.61,0.0,0,,2026-04-21,72.0,Real Estate,improving,0,DJUSRE,,,,,,0,,,,,,,,0,35.0
LOB,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,2026-01-21,-18.0,Financial Services,declining,0,DJUSFI,,,,,,0,,,,,,,,0,35.0
CRVO,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2025-11-11,-89.0,Healthcare,improving,0,DJUSHC,,,,,,0,,,,,,,,0,35.0
BFS,35.0,🔵 MODERADA,0.0,100,28.61,0.0,0,,,,Real Estate,improving,0,DJUSRE,,,,,,0,,,,,,,,0,35.0
SRTS,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,2026-02-12,4.0,Healthcare,improving,0,DJUSHC,,,,,,0,,,,,,,,0,35.0
BBWI,35.0,🔵 MODERADA,0.0,100,68.9,0.0,0,,2026-03-04,24.0,Consumer Cyclical,declining,0,DJUSGT,,,,,,0,,,,,,,,0,35.0
HSY,35.0,🔵 MODERADA,0.0,100,20.85,0.0,0,,2026-04-30,81.0,Consumer Defensive,improving,0,DJUSFB,,,,,,0,,,,,,,,0,35.0
IMNM,35.0,🔵 MODERADA,0.0,100,49.96,0.0,0,,,,Healthcare,improving,0,DJUSHC,,,,,,0,,,,,,,,0,35.0
WAFD,35.0,🔵 MODERADA,0.0,100,64.96,0.0,0,,2026-04-10,61.0,Financial Services,declining,0,DJUSFI,,,,,,0,,,,,,,,0,35.0
APLE,35.0,🔵 MODERADA,0.0,100,28.61,0.0,0,,2026-02-23,15.0,Real Estate,improving,0,DJUSRE,,,,,,0,,,,,,,,0,35.0
