ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,modelos_dispersion_pts,modelos_acuerdo,upside_triangulated_pct,upside_divergence_pts,upside_divergence,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason,tasa_base_frase,tasa_base_n,tasa_base_caida_mediana_pct,tasa_base_caida_peor_pct,tasa_base_arriba_pct,tasa_base_bimodal,soporte_frase,soporte_nivel,soporte_distancia_pct,soporte_dias,soporte_aguanto,soporte_roto,soporte_antiguo,why_cheap,why_cheap_resumen,why_cheap_fuentes
NOVO-B.CO,Novo Nordisk A/S,54.5,⭐ AVERAGE,🟡 Average,DKK,DKK,False,True,False,0.7567,"acciones × precio no cuadra con la capitalización (ratio 0.7567): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,50.0,50.0,70.0,50.0,,,,,-20.8,False,0,2.1,False,0,"{'eps_growth_yoy': -20.8, 'op_growth_yoy': -19.1, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 59.8, 'debt_to_equity': 0.63, 'current_ratio': 0.87, 'operating_margin_pct': 42.5}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 11.0}",279.35,1234133450752,Healthcare,Drug Manufacturers - General,,,False,409.95,-31.9,0.0,False,310.17,457.0,203.0,23.0,hold,11.0,,,,,3.38,9.44,4.29,44.6,11.7,1.93,True,-0.48,252.0,-8.2,47.0,2026-11-04,False,False,5.0,NEUTRAL,10.12,64.7,,26.4,,,,2026-09-18T05:12:39.418351,OMXCPH,55.8,3.0,8.0,3.0,0.0,1.38,0.0,CONFIRMED_UPTREND,,,,,,0,,False,1,0.946,False,-33.91,20.81,0.29,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 13 veces anteriores (RSI normal, bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -63% — sin término medio; al año el 46% estaba en positivo (mediana -5%).",13,-27.7,-63.0,46,True,"soporte vivo más cercano en 254.76 (-1.5%), puesto a prueba hace 0 días; aguantó 1 de 1 veces",254.76,-1.5,0.0,1.0,0.0,False,,,
AUTO.L,Autotrader Group plc,59.0,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,50.0,90.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 12.8}",496.8,3847662080,Communication Services,Internet Content & Information,,,False,828.8,-40.1,0.0,False,560.16,800.0,410.0,19.0,hold,12.8,,,,,7.68,38.15,2.32,32.0,12.0,1.38,,,,2.0,48.0,2026-11-05,False,False,5.0,NEUTRAL,9.33,332.4,2.23,32.5,,,,2026-09-18T05:13:16.941746,FTSE100,47.6,6.0,5.0,0.0,1.0,1.6,0.0,CONFIRMED_UPTREND,,,,,,-8,RELIABLE/AVOID (-8),False,1,1.061,False,-39.64,19.51,-3.66,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 13 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 17% de mediana (peor caso -47%); al año el 62% estaba en positivo (mediana +5%).",13,-16.8,-47.4,62,False,"soporte vivo más cercano en 492.22 (-1.6%), puesto a prueba hace 13 días; aguantó 6 y se rompió 2",492.22,-1.6,13.0,6.0,2.0,False,,,
DB1.DE,Deutsche Börse AG,63.0,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,75.0,50.0,50.0,80.0,60.0,,,,,8.4,False,0,7.8,False,0,"{'eps_growth_yoy': 8.4, 'op_growth_yoy': 8.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.3}","{'revenue_growth_yoy': 7.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 20.4, 'debt_to_equity': 0.58, 'current_ratio': 1.01, 'operating_margin_pct': 41.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 4.4}",279.8,50444484608,Financial Services,Financial Data & Stock Exchanges,,,False,291.8,-4.1,0.0,False,292.15,323.0,252.0,13.0,buy,4.4,361.91,29.3,135.6,-51.5,5.13,14.35,1.52,36.2,4.2,1.87,,,,13.7,32.0,2026-10-20,False,False,5.0,NEUTRAL,5.52,66.8,1.5,20.6,,,,2026-09-18T05:12:31.014640,DAX40,51.2,6.0,5.0,0.0,3.0,0.55,0.0,CONFIRMED_UPTREND,80.8,CONTRADICEN,,55.9,ALTA,0,,True,3,1.074,False,-3.56,43.08,7.95,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 48 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 6% de mediana (peor caso -34%); al año el 83% estaba en positivo (mediana +18%).",48,-6.1,-34.5,83,False,"soporte vivo más cercano en 270.35 (-3.9%), puesto a prueba hace 13 días; aguantó 4 y se rompió 1",270.35,-3.9,13.0,4.0,1.0,False,,,
HEXA-B.ST,Hexagon AB (publ),69.8,⭐⭐ GOOD,🟡 Good,SEK,EUR,True,True,True,0.9589,"FCF declarado (842,100,000) se aparta del derivado de flujo operativo menos capex (15,608,570,234)",85.0,60.0,50.0,95.0,50.0,,,,,84.9,False,0,9.2,True,1,"{'eps_growth_yoy': 84.9, 'op_growth_yoy': 26.6, 'crecimiento_respaldado': False, 'crecimiento_puntuado': 51.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.0}","{'revenue_growth_yoy': 9.2, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 27.3, 'debt_to_equity': 0.47, 'current_ratio': 1.53, 'operating_margin_pct': 24.0}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 6.2}",95.3,255821217792,Technology,Scientific & Technical Instruments,,,False,122.1,-21.9,0.0,False,101.21,132.3,79.96,16.0,hold,6.2,105.04,10.2,88.9,-6.7,6.1,5.81,1.62,17.8,1.52,1.24,True,-0.01,20.6,,35.0,2026-10-23,False,False,6.0,NEUTRAL,0.36,117.8,0.01,22.0,,,,2026-09-18T05:13:39.980069,OMXSTO,50.9,6.0,5.0,3.0,0.0,0.78,0.0,CONFIRMED_UPTREND,16.9,CONTRADICEN,,12.9,,0,,False,2,0.787,False,-20.58,35.3,-9.39,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 11 veces anteriores (RSI normal, sobre su MA200 que baja) o paró casi donde estaba o se desplomó hasta -30% — sin término medio; al año el 45% estaba en positivo (mediana -5%).",11,-25.8,-30.4,45,True,"soporte vivo más cercano en 95.04 (-1.9%), puesto a prueba hace 20 días; aguantó 6 y se rompió 5",95.04,-1.9,20.0,6.0,5.0,False,EVENTO,"Hexagon sufrió una caída inicial de 10.21% en abril de 2026 tras reportar márgenes brutos comprimidos (-150 pb) y un cargo por deterioro de EUR 186M en Q1, aunque la empresa mantiene crecimiento orgánico sostenido (8%) y márgenes operativos resilientes (26%+). El descenso adicional desde entonces re",https://es.investing.com/news/transcripts/hexagon-ab-reporta-crecimiento-de-ingresos-en-el-primer-trimestre-de-2026-en-medio-de-vientos-en-contra-cambiarios-93CH-3616879 | https://finance.yahoo.com/quote/HEXA-B.ST/ | https://www.tradingview.com/symbols/OMXSTO-HEXA_B/ | https://finance.yahoo.com/quote/HEXA-B.ST/key-statistics/
LIFCO-B.ST,Lifco AB (publ),69.5,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,False,0.9331,"acciones × precio no cuadra con la capitalización (ratio 0.9331): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",90.0,70.0,50.0,60.0,60.0,,,,,22.8,True,1,11.0,True,1,"{'eps_growth_yoy': 22.8, 'op_growth_yoy': 19.9, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.2}","{'revenue_growth_yoy': 11.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 20.2, 'debt_to_equity': 0.58, 'current_ratio': 0.94, 'operating_margin_pct': 19.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.9}",306.8,139353554944,Industrials,Conglomerates,,,False,388.2,-21.0,0.0,False,352.43,385.0,330.0,7.0,buy,14.9,,,,,3.36,10.31,0.88,31.8,2.7,0.72,False,,,12.5,35.0,2026-10-23,False,False,7.0,NEUTRAL,3.44,163.9,2.16,12.7,,,,2026-09-18T05:13:44.174685,OMXSTO,50.8,3.0,0.0,0.0,3.0,1.86,0.0,CONFIRMED_UPTREND,,,,,,0,,False,1,0.946,False,-18.65,17.75,2.03,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 3 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 1% de mediana (peor caso -8%); al año el 100% estaba en positivo (mediana +29%). ⚠ solo 3 casos, no decide nada",3,-1.3,-8.5,100,False,"soporte vivo más cercano en 309.95 (-1.0%), puesto a prueba hace 21 días; aguantó 13 y se rompió 2",309.95,-1.0,21.0,13.0,2.0,False,,,
CPG.L,Compass Group PLC,52.2,⭐ AVERAGE,🟡 Average,USD,USD,False,True,True,1.0,"FCF declarado (1,974,125,056) se aparta del derivado de flujo operativo menos capex (2,725,999,872)",50.0,50.0,50.0,55.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 4.2},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 26.9, 'debt_to_equity': 1.13, 'current_ratio': 0.7, 'operating_margin_pct': 6.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 24.3}",31.1,52879740928,Consumer Cyclical,Restaurants,,,False,35.227425,-11.7,0.0,False,38.67,43.0,32.45,18.0,buy,24.3,39.57,27.2,12.73,-59.1,5.16,1.6,2.22,55.9,0.69,2.93,,,,16.3,67.0,2026-11-24,False,False,6.0,NEUTRAL,4.81,100.5,1.16,19.2,,,,2026-09-18T05:13:02.274577,FTSE100,49.9,6.0,5.0,0.0,5.0,3.04,0.0,CONFIRMED_UPTREND,86.3,CONTRADICEN,,83.4,ALTA,0,,False,2,0.823,False,-12.88,16.83,-3.84,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 12 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 4% de mediana (peor caso -11%); al año el 100% estaba en positivo (mediana +23%).",12,-3.8,-11.3,100,False,"soporte vivo más cercano en 29.65 (-1.6%), puesto a prueba hace 4 días; aguantó 8 y se rompió 2",29.65,-1.6,4.0,8.0,2.0,False,,,
DG.PA,Vinci SA,51.5,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,50.0,50.0,50.0,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 6.7},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 16.3, 'debt_to_equity': 1.21, 'current_ratio': 0.82, 'operating_margin_pct': 11.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 27.0}",112.9,62423678976,Industrials,Engineering & Construction,,,False,143.15,-21.1,0.0,False,143.38,163.5,123.0,21.0,buy,27.0,299.98,165.7,90.0,-20.3,13.25,14.96,4.51,55.5,5.05,3.65,,,,10.8,140.0,2027-02-05,False,False,7.0,NEUTRAL,10.27,56.6,1.04,20.9,,,,2026-09-18T05:14:56.688556,CAC40,49.6,8.0,8.0,0.0,3.0,3.38,0.0,CONFIRMED_UPTREND,186.0,CONTRADICEN,,47.3,ALTA,0,,False,1,0.855,False,-19.18,2.84,-22.07,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 13 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 5% de mediana (peor caso -22%); al año el 100% estaba en positivo (mediana +27%).",13,-5.4,-21.5,100,False,"soporte vivo más cercano en 110.94 (-1.3%), puesto a prueba hace 13 días; aguantó 6 de 6 veces",110.94,-1.3,13.0,6.0,0.0,False,,,
SU.PA,Schneider Electric S.E.,56.2,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,55.0,50.0,50.0,75.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 11.3},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.6, 'debt_to_equity': 0.84, 'current_ratio': 1.09, 'operating_margin_pct': 18.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 14.8}",287.1,161723777024,Industrials,Specialty Industrial Machinery,,,False,312.3,-8.1,0.0,False,329.51,370.0,262.0,24.0,strong_buy,14.8,159.24,-44.5,84.9,-70.4,3.52,10.11,1.5,49.5,4.2,1.76,,,,29.3,160.0,2027-02-25,False,False,6.0,NEUTRAL,3.78,74.6,0.81,34.5,,,,2026-09-18T05:13:10.887935,CAC40,49.5,3.0,5.0,0.0,5.0,1.85,0.0,CONFIRMED_UPTREND,25.9,DISPERSOS,-44.5,72.2,ALTA,0,,True,3,1.194,False,-4.95,36.79,9.7,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 45 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 10% de mediana (peor caso -34%); al año el 71% estaba en positivo (mediana +16%).",45,-9.9,-34.4,71,False,"soporte vivo más cercano en 290.20 (-2.2%), puesto a prueba hace 13 días; aguantó 2 y se rompió 1",290.2,-2.2,13.0,2.0,1.0,False,,,
RMV.L,Rightmove plc,60.5,⭐⭐ GOOD,🟡 Good,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,50.0,100.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 49.7},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 282.4, 'debt_to_equity': 0.07, 'current_ratio': 1.53, 'operating_margin_pct': 66.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 8.0}",496.9,3628823040,Communication Services,Internet Content & Information,,,False,731.8,-32.1,0.0,False,536.75,745.0,356.0,20.0,hold,8.0,,,,,6.31,31.35,2.15,37.2,11.0,1.57,,,,1.7,161.0,2027-02-26,False,False,6.0,NEUTRAL,7.81,637.5,3.37,36.1,,,,2026-09-18T05:13:50.577454,FTSE100,48.2,6.0,5.0,0.0,1.0,1.0,0.0,CONFIRMED_UPTREND,,,,,,0,,False,2,1.108,False,-31.14,28.74,6.94,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 18 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 11% de mediana (peor caso -32%); al año el 72% estaba en positivo (mediana +8%).",18,-11.1,-32.0,72,False,"soporte vivo más cercano en 494.56 (-1.8%), puesto a prueba hace 25 días; aguantó 4 y se rompió 2",494.56,-1.8,25.0,4.0,2.0,False,,,
RACE.MI,Ferrari N.V.,75.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,70.0,50.0,90.0,60.0,,,,,9.0,True,2,8.4,True,2,"{'eps_growth_yoy': 9.0, 'op_growth_yoy': 9.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.1}",359.3,63096578048,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-16.7,0.0,False,388.39,430.4,330.0,19.0,buy,8.1,195.53,-45.6,92.8,-74.2,2.32,8.34,1.01,39.0,3.62,0.68,True,-1.26,63.9,10.1,46.0,2026-11-03,False,False,9.0,STRONG,3.24,46.9,3.23,20.6,,,,2026-09-18T05:13:25.185023,FTSEMIB,48.2,0.0,0.0,3.0,3.0,1.01,0.0,CONFIRMED_UPTREND,28.6,DISPERSOS,-45.6,68.0,ALTA,0,,True,3,1.007,False,-15.19,35.95,20.42,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado,"las 35 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 9% de mediana (peor caso -37%); al año el 86% estaba en positivo (mediana +19%).",35,-8.6,-37.2,86,False,"soporte vivo más cercano en 352.80 (-2.4%), puesto a prueba hace 21 días; aguantó 2 y se rompió 2",352.8,-2.4,21.0,2.0,2.0,False,,,
PGHN.SW,Partners Group Holding AG,54.0,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,,60.0,50.0,30.0,80.0,55.0,,,,,,,0,,,0,{'profit_margin_pct': 48.0},{},"{'rs_3m': -7.1, 'rs_6m': -34.7}","{'roe_pct': 75.4, 'debt_to_equity': 1.93, 'current_ratio': 1.06, 'operating_margin_pct': 59.4}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 27.5}",621.0,16011327488,Financial Services,Asset Management,,,False,1107.0,-43.9,0.0,False,791.79,940.0,680.0,14.0,hold,27.5,923.72,48.7,458.9,-26.1,11.98,74.4,7.43,100.4,46.0,3.64,,,,-4.8,179.0,2027-03-16,False,False,7.0,NEUTRAL,8.45,75.9,,31.4,,,,2026-09-18T05:12:45.652987,SMI20,47.6,8.0,-2.0,0.0,0.0,3.44,0.0,CONFIRMED_UPTREND,74.8,CONTRADICEN,,53.6,ALTA,0,,False,0,0.911,False,-40.92,1.84,-30.65,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 8 veces anteriores (sobrevendido (RSI<25), bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -30% — sin término medio; al año el 75% estaba en positivo (mediana +29%).",8,-9.3,-30.4,75,True,sin soportes identificables por debajo,,,,,,,,,
COLO-B.CO,Coloplast A/S,67.5,⭐⭐ GOOD,🟡 Good,DKK,DKK,False,True,False,0.9201,"acciones × precio no cuadra con la capitalización (ratio 0.9201): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",85.0,60.0,50.0,80.0,50.0,,,,,60.3,True,1,6.1,True,1,"{'eps_growth_yoy': 60.3, 'op_growth_yoy': 2.0, 'crecimiento_respaldado': False, 'crecimiento_puntuado': 27.0, 'positive_quarters': 3, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 9.7}","{'revenue_growth_yoy': 6.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.5, 'debt_to_equity': 1.78, 'current_ratio': 1.56, 'operating_margin_pct': 26.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 11.5}",420.1,94677155840,Healthcare,Medical Instruments & Supplies,,,False,631.4,-33.5,0.0,False,468.29,625.0,377.0,21.0,hold,11.5,,,,,6.68,28.06,5.48,187.6,23.0,2.93,False,,4.6,32.7,46.0,2026-11-03,False,False,7.0,NEUTRAL,6.12,105.6,0.2,34.8,,,,2026-09-18T05:12:35.388129,OMXCPH,46.0,6.0,-2.0,0.0,5.0,1.44,0.0,CONFIRMED_UPTREND,,,,,,0,,False,1,0.869,False,-30.95,12.88,-17.17,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 9 veces anteriores (sobrevendido (RSI<25), bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -39% — sin término medio; al año el 67% estaba en positivo (mediana +14%).",9,-12.7,-39.0,67,True,"soporte vivo más cercano en 413.70 (-0.9%), puesto a prueba hace 11 días; aguantó 4 y se rompió 1",413.7,-0.9,11.0,4.0,1.0,False,,,
OR.PA,L'Oréal S.A.,55.5,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,55.0,50.0,50.0,70.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 13.9},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 19.4, 'debt_to_equity': 0.49, 'current_ratio': 0.97, 'operating_margin_pct': 21.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.1}",380.1,202364944384,Consumer Defensive,Household & Personal Products,,,False,405.8,-6.3,0.0,False,418.42,460.0,340.0,24.0,buy,10.1,262.04,-31.1,117.6,-69.1,3.7,14.06,1.89,61.1,7.2,1.56,,,,3.8,144.0,2027-02-09,False,False,6.0,NEUTRAL,4.13,69.9,4.72,19.1,,,,2026-09-18T05:12:26.803416,CAC40,45.2,3.0,5.0,0.0,1.0,1.26,0.0,CONFIRMED_UPTREND,38.0,DISPERSOS,-31.1,60.2,ALTA,0,,False,2,1.031,False,-3.82,16.06,-0.17,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 45 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 7% de mediana (peor caso -29%); al año el 76% estaba en positivo (mediana +14%).",45,-7.2,-29.4,76,False,"soporte vivo más cercano en 372.26 (-3.5%), puesto a prueba hace 7 días; aguantó 10 y se rompió 5",372.26,-3.5,7.0,10.0,5.0,False,,,
INDT.ST,Indutrade AB (publ),71.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,True,1.0,,95.0,70.0,50.0,70.0,50.0,,,,,25.7,True,1,11.8,True,1,"{'eps_growth_yoy': 25.7, 'op_growth_yoy': 22.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 8.1}","{'revenue_growth_yoy': 11.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 15.7, 'debt_to_equity': 0.61, 'current_ratio': 1.49, 'operating_margin_pct': 12.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 13.3}",247.8,90279239680,Industrials,Industrial Distribution,,,False,266.6,-7.1,0.0,False,280.75,320.0,261.0,8.0,none,13.3,151.5,-38.9,73.5,-70.3,3.97,9.84,1.26,42.1,3.1,1.1,False,,,11.4,35.0,2026-10-23,False,False,8.0,STRONG,3.8,33.7,1.21,14.4,,,,2026-09-18T05:13:42.220289,OMXSTO,44.6,3.0,0.0,0.0,3.0,1.66,0.0,CONFIRMED_UPTREND,31.4,DISPERSOS,-38.9,67.9,ALTA,0,,False,2,0.903,False,-4.13,39.46,13.15,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 47 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 8% de mediana (peor caso -36%); al año el 83% estaba en positivo (mediana +22%).",47,-8.2,-36.5,83,False,"soporte vivo más cercano en 244.25 (-3.1%), puesto a prueba hace 21 días; aguantó 3 y se rompió 5",244.25,-3.1,21.0,3.0,5.0,False,,,
HEIA.AS,Heineken N.V.,52.2,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,50.0,50.0,50.0,55.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 7.7},{},"{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 12.1, 'debt_to_equity': 0.95, 'current_ratio': 0.75, 'operating_margin_pct': 10.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 24.9}",71.36,39546040320,Consumer Defensive,Beverages - Brewers,,,False,80.44,-11.3,0.0,False,89.14,126.0,70.0,23.0,buy,24.9,118.92,66.6,41.0,-42.5,8.61,6.14,2.68,46.3,1.92,2.04,,,,54.1,145.0,2027-02-10,False,False,7.0,NEUTRAL,6.11,25.0,0.23,16.7,,,,2026-09-18T05:13:58.588851,AEX25,43.9,8.0,5.0,0.0,5.0,3.11,0.0,CONFIRMED_UPTREND,109.1,CONTRADICEN,,67.4,ALTA,0,,False,2,0.963,False,-10.25,12.99,-2.44,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 36 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 11% de mediana (peor caso -32%); al año el 61% estaba en positivo (mediana +3%).",36,-10.6,-31.6,61,False,"soporte vivo más cercano en 71.00 (-0.7%), puesto a prueba hace 13 días; aguantó 5 y se rompió 4",71.0,-0.7,13.0,5.0,4.0,False,,,
